70;REALIDADE;;;;;;;;;;;
2;ATTB34;Stocks;40;R$ 37,83;R$ 43,22;14,25%;R$ 215,60;0,17%;2,94%;3,36%;R$ 1.728,80;R$ 1.513,20
2;EXXO34;Stocks;0;R$ 0,00;R$ 105,71;0,00%;R$ 0,00;0,00%;1,67%;s/inf;R$ 0,00;R$ 0,00
0;Classe de Ativo;Risco do Ativo;Compras;Ativos;Preço com;P.Atual/P.Médio;Ganho/Perda;% na carteira;Dividend Yield (último 12 meses);;Saldo Total;Saldo Investido
0;RF;Qualificado;Realizadas;6;15min. atraso;8,82%;R$ 10.382,12;26,86%;valor atual;valor pago;R$ 266.178,97;R$ 255.796,85
11;Ativo;Risco;Adquirido;Preço Médio;Preço Atual;Variação;Representa;% na carteira;D.Y.;Yield on Cost;Saldo;Investido
2;IPCA+2029;Inflação BR;5,38;R$ 3.389,94;R$ 3.829,37;12,96%;R$ 2.364,13;2,08%;0,00%;0,00%;R$ 20.602,01;R$ 18.237,88
2;IPCA+2040;Inflação BR;12,49;R$ 1.600,35;R$ 1.697,78;6,09%;R$ 1.216,90;2,14%;0,00%;0,00%;R$ 21.205,27;R$ 19.988,37
2;IPCA+2050;Inflação BR;0,00;R$ 0,00;R$ 864,30;0,00%;R$ 0,00;0,00%;0,00%;s/inf;R$ 0,00;R$ 0,00
2;Renda+2065;Inflação BR;0,00;R$ 0,00;R$ 178,98;0,00%;R$ 0,00;0,00%;0,00%;s/inf;R$ 0,00;R$ 0,00
2;Prefixado2028;Prefixado BR;25,58;R$ 717,32;R$ 834,09;16,28%;R$ 2.986,98;2,15%;0,00%;0,00%;R$ 21.336,02;R$ 18.349,05
2;Prefixado2029;Prefixado BR;0,00;R$ 0,00;R$ 730,89;0,00%;R$ 0,00;0,00%;0,00%;s/inf;R$ 0,00;R$ 0,00
2;Prefixado2032;Prefixado BR;43,86;R$ 423,46;R$ 482,02;13,83%;R$ 2.568,44;2,13%;0,00%;0,00%;R$ 21.141,40;R$ 18.572,96
2;CDB100%DI;Pós-Fixado BR;0;0;R$ 1,00;0,00%;R$ 0,00;0,00%;0,00%;s/inf;R$ 0,00;R$ 0,00
2;LFTB11;Pós-Fixado BR;204;R$ 121,20;R$ 125,49;3,54%;R$ 875,16;2,58%;0,00%;0,00%;R$ 25.599,96;R$ 24.724,80
2;TFLO;Pós-Fixado USA;600,00;R$ 259,87;R$ 260,49;0,24%;R$ 370,51;15,77%;4,14%;4,15%;R$ 156.294,31;R$ 155.923,80
