;;;;DESEJADO;;
2;GOGL34;1;R$ 133,20;11,11%;R$ 14,80;3,43%;R$ 148,00;
2;AMZO34;1;R$ 59,93;17,14%;R$ 10,27;1,63%;R$ 70,20;
2;AAPL34;0;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;NFLX34;6;R$ 7,63;1,83%;R$ 0,84;1,08%;R$ 46,62;
2;JPMC34;1;R$ 160,30;16,28%;R$ 26,10;4,33%;R$ 186,40;
2;PGCO34;1;R$ 52,72;1,33%;R$ 0,70;1,24%;R$ 53,42;
2;ATTB34;1;R$ 37,83;10,71%;R$ 4,05;0,97%;R$ 41,88;
2;EXXO34;0;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;RF (INFLAÇÃO);;;4,16%;4;3,21%;R$ 138,23;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;IPCA+2029;0,01;R$ 3.389,94;12,37%;R$ 4,19;0,88%;R$ 38,09;
2;IPCA+2040;0,06;R$ 1.600,35;4,29%;R$ 4,12;2,32%;R$ 100,14;
2;IPCA+2050;0,00;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;Renda+2065;0,00;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;RF (PREFIXADO);;;10,07%;3;5,70%;R$ 245,72;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;Prefixado2028;0,15;R$ 717,32;16,13%;R$ 17,35;2,90%;R$ 124,95;
2;Prefixado2029;0,00;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;Prefixado2032;0,25;R$ 423,46;14,07%;R$ 14,90;2,80%;R$ 120,77;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;RF (PÓS-FIXADO);;;1,46%;2;2,89%;R$ 124,75;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;CDB100%DI;0;0;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;LFTB11;1;R$ 121,20;2,93%;R$ 3,55;2,89%;R$ 124,75;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;ETF (EXTERIOR);;;0,12%;1;0,00%;R$ 0,00;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;TFLO;0,00;R$ 50,50;0,12%;R$ 0,00;0,00%;R$ 0,00;
2;USDBRL;;
